[2023-12-21 16:36:32,994][INFO] 
===== FNN_big-0.3-1000-small-2023-12-21-16-36-32 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8e50>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8700>
===== end of FNN_big-0.3-1000-small-2023-12-21-16-36-32 configuration =====

[2023-12-21 16:36:32,994][INFO] ===== start repair ======
[2023-12-21 16:36:32,994][INFO] For pgd attack net
[2023-12-21 16:36:34,858][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-21 16:36:37,259][INFO] --load the trainset and testset as testing set
[2023-12-21 16:36:37,267][INFO] --evaluate the original net on testset
[2023-12-21 16:36:37,268][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 16:36:37,268][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 16:36:38,014][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 16:36:38,014][INFO] --adv training
[2023-12-21 16:36:38,160][INFO] --epoch 0 loss 2.3050084531307222
[2023-12-21 16:36:38,301][INFO] --epoch 1 loss 2.3026416301727295
[2023-12-21 16:36:38,454][INFO] --epoch 2 loss 2.3026152431964872
[2023-12-21 16:36:38,597][INFO] --epoch 3 loss 2.3010473430156706
[2023-12-21 16:36:38,740][INFO] --epoch 4 loss 2.3017274260520937
[2023-12-21 16:36:38,882][INFO] --epoch 5 loss 2.297807031869888
[2023-12-21 16:36:39,015][INFO] --epoch 6 loss 2.2889051258563997
[2023-12-21 16:36:39,155][INFO] --epoch 7 loss 2.1700587600469587
[2023-12-21 16:36:39,310][INFO] --epoch 8 loss 1.9120733320713044
[2023-12-21 16:36:39,434][INFO] --epoch 9 loss 1.6748987048864366
[2023-12-21 16:36:39,562][INFO] --epoch 10 loss 1.4789078056812286
[2023-12-21 16:36:39,691][INFO] --epoch 11 loss 1.1787316739559173
[2023-12-21 16:36:39,817][INFO] --epoch 12 loss 1.0281266137957572
[2023-12-21 16:36:39,938][INFO] --epoch 13 loss 1.189733175188303
[2023-12-21 16:36:40,071][INFO] --epoch 14 loss 0.93543531447649
[2023-12-21 16:36:40,205][INFO] --epoch 15 loss 0.767585315555334
[2023-12-21 16:36:40,328][INFO] --epoch 16 loss 0.5887167252600193
[2023-12-21 16:36:40,454][INFO] --epoch 17 loss 0.5200695339590311
[2023-12-21 16:36:40,571][INFO] --epoch 18 loss 0.5085730910301208
[2023-12-21 16:36:40,701][INFO] --epoch 19 loss 0.3605838231742382
[2023-12-21 16:36:40,824][INFO] --epoch 20 loss 0.23341179601848125
[2023-12-21 16:36:40,954][INFO] --epoch 21 loss 0.18399211168289184
[2023-12-21 16:36:41,105][INFO] --epoch 22 loss 0.14226886858232318
[2023-12-21 16:36:41,240][INFO] --epoch 23 loss 0.08918282147496939
[2023-12-21 16:36:41,374][INFO] --epoch 24 loss 0.08554912386462092
[2023-12-21 16:36:41,502][INFO] --epoch 25 loss 0.06378797744400799
[2023-12-21 16:36:41,634][INFO] --epoch 26 loss 0.0900232333689928
[2023-12-21 16:36:41,765][INFO] --epoch 27 loss 0.04757722883950919
