[2023-12-20 17:11:33,314][INFO] 
===== CNN_small-0.1-100-small-2023-12-20-17-11-33 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: CNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cb598daf0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
===== end of CNN_small-0.1-100-small-2023-12-20-17-11-33 configuration =====

[2023-12-20 17:11:33,314][INFO] ===== start repair ======
[2023-12-20 17:11:33,314][INFO] For pgd attack net
[2023-12-20 17:11:33,527][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-20 17:11:33,772][INFO] --load the trainset and testset as testing set
[2023-12-20 17:11:33,787][INFO] --evaluate the original net on testset
[2023-12-20 17:11:33,788][INFO] --For testset, out of 10000 items, ratio 0.9827
[2023-12-20 17:11:33,788][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-20 17:11:33,865][INFO] --For testset, out of 10000 items, ratio 0.9827
[2023-12-20 17:11:33,865][INFO] --adv training
[2023-12-20 17:11:33,883][INFO] --epoch 0 loss 2.276084840297699
[2023-12-20 17:11:33,895][INFO] --epoch 1 loss 2.1409454941749573
[2023-12-20 17:11:33,907][INFO] --epoch 2 loss 1.7488049864768982
[2023-12-20 17:11:33,921][INFO] --epoch 3 loss 1.4718212187290192
[2023-12-20 17:11:33,933][INFO] --epoch 4 loss 1.190896287560463
[2023-12-20 17:11:33,944][INFO] --epoch 5 loss 0.6386496126651764
[2023-12-20 17:11:33,957][INFO] --epoch 6 loss 0.8590071797370911
[2023-12-20 17:11:33,969][INFO] --epoch 7 loss 0.38962800800800323
[2023-12-20 17:11:33,981][INFO] --epoch 8 loss 0.3258310370147228
[2023-12-20 17:11:33,993][INFO] --epoch 9 loss 0.4128873981535435
[2023-12-20 17:11:34,006][INFO] --epoch 10 loss 0.3186330124735832
[2023-12-20 17:11:34,018][INFO] --epoch 11 loss 0.11134217027574778
[2023-12-20 17:11:34,031][INFO] --epoch 12 loss 0.16771305352449417
[2023-12-20 17:11:34,043][INFO] --epoch 13 loss 0.08031764626502991
[2023-12-20 17:11:34,055][INFO] --epoch 14 loss 0.08044014498591423
[2023-12-20 17:11:34,067][INFO] --epoch 15 loss 0.066063417121768
[2023-12-20 17:11:34,079][INFO] --epoch 16 loss 0.054497151635587215
[2023-12-20 17:11:34,091][INFO] --epoch 17 loss 0.045383028918877244
[2023-12-20 17:11:34,103][INFO] --epoch 18 loss 0.05703182006254792
[2023-12-20 17:11:34,115][INFO] --epoch 19 loss 0.04768170416355133
[2023-12-20 17:11:34,128][INFO] --epoch 20 loss 0.02897691633552313
[2023-12-20 17:11:34,140][INFO] --epoch 21 loss 0.04615526553243399
[2023-12-20 17:11:34,152][INFO] --epoch 22 loss 0.02956625772640109
[2023-12-20 17:11:34,165][INFO] --epoch 23 loss 0.04699853993952274
[2023-12-20 17:11:34,178][INFO] --epoch 24 loss 0.028344050981104374
[2023-12-20 17:11:34,190][INFO] --epoch 25 loss 0.027134359814226627
[2023-12-20 17:11:34,203][INFO] --epoch 26 loss 0.03173823142424226
[2023-12-20 17:11:34,215][INFO] --epoch 27 loss 0.025203725788742304
[2023-12-20 17:11:34,227][INFO] --epoch 28 loss 0.019439504714682698
[2023-12-20 17:11:34,239][INFO] --epoch 29 loss 0.01608173339627683
[2023-12-20 17:11:34,251][INFO] --epoch 30 loss 0.016377799911424518
[2023-12-20 17:11:34,263][INFO] --epoch 31 loss 0.015427874634042382
[2023-12-20 17:11:34,276][INFO] --epoch 32 loss 0.016344639472663403
[2023-12-20 17:11:34,289][INFO] --epoch 33 loss 0.017947515239939094
[2023-12-20 17:11:34,301][INFO] --epoch 34 loss 0.01922462834045291
[2023-12-20 17:11:34,313][INFO] --epoch 35 loss 0.017127033788710833
[2023-12-20 17:11:34,325][INFO] --epoch 36 loss 0.016466274857521057
[2023-12-20 17:11:34,337][INFO] --epoch 37 loss 0.014027047669515014
[2023-12-20 17:11:34,349][INFO] --epoch 38 loss 0.012587233213707805
[2023-12-20 17:11:34,361][INFO] --epoch 39 loss 0.01391328452154994
[2023-12-20 17:11:34,374][INFO] --epoch 40 loss 0.014632247621193528
[2023-12-20 17:11:34,386][INFO] --epoch 41 loss 0.01377086213324219
[2023-12-20 17:11:34,398][INFO] --epoch 42 loss 0.013648737338371575
[2023-12-20 17:11:34,411][INFO] --epoch 43 loss 0.012681932421401143
[2023-12-20 17:11:34,423][INFO] --epoch 44 loss 0.01196665596216917
[2023-12-20 17:11:34,436][INFO] --epoch 45 loss 0.011740328627638519
[2023-12-20 17:11:34,488][INFO] --epoch 46 loss 0.011709279613569379
[2023-12-20 17:11:34,500][INFO] --epoch 47 loss 0.011738106608390808
[2023-12-20 17:11:34,514][INFO] --epoch 48 loss 0.011753918835893273
[2023-12-20 17:11:34,526][INFO] --epoch 49 loss 0.011750999372452497
[2023-12-20 17:11:34,539][INFO] --epoch 50 loss 0.011753438739106059
[2023-12-20 17:11:34,551][INFO] --epoch 51 loss 0.01175432256422937
[2023-12-20 17:11:34,563][INFO] --epoch 52 loss 0.011760254623368382
[2023-12-20 17:11:34,574][INFO] --epoch 53 loss 0.011733178049325943
[2023-12-20 17:11:34,587][INFO] --epoch 54 loss 0.011766236857511103
[2023-12-20 17:11:34,599][INFO] --epoch 55 loss 0.012002296512946486
[2023-12-20 17:11:34,611][INFO] --epoch 56 loss 0.012075750855728984
[2023-12-20 17:11:34,624][INFO] --epoch 57 loss 0.011993934866040945
[2023-12-20 17:11:34,635][INFO] --epoch 58 loss 0.01162669959012419
[2023-12-20 17:11:34,648][INFO] --epoch 59 loss 0.011176440981216729
[2023-12-20 17:11:34,660][INFO] --epoch 60 loss 0.01127922791056335
[2023-12-20 17:11:34,672][INFO] --epoch 61 loss 0.01213647227268666
[2023-12-20 17:11:34,685][INFO] --epoch 62 loss 0.011908649001270533
[2023-12-20 17:11:34,697][INFO] --epoch 63 loss 0.013286494766362011
[2023-12-20 17:11:34,709][INFO] --epoch 64 loss 0.01277687307447195
[2023-12-20 17:11:34,721][INFO] --epoch 65 loss 0.011492024641484022
[2023-12-20 17:11:34,733][INFO] --epoch 66 loss 0.011426435667090118
[2023-12-20 17:11:34,745][INFO] --epoch 67 loss 0.01074361929204315
[2023-12-20 17:11:34,758][INFO] --epoch 68 loss 0.011051684617996216
[2023-12-20 17:11:34,770][INFO] --epoch 69 loss 0.012349673546850681
[2023-12-20 17:11:34,782][INFO] --epoch 70 loss 0.012069461401551962
[2023-12-20 17:11:34,794][INFO] --epoch 71 loss 0.013138762209564447
[2023-12-20 17:11:34,806][INFO] --epoch 72 loss 0.01310131000354886
[2023-12-20 17:11:34,819][INFO] --epoch 73 loss 0.022333689033985138
[2023-12-20 17:11:34,832][INFO] --epoch 74 loss 0.01446937711443752
[2023-12-20 17:11:34,843][INFO] --epoch 75 loss 0.023944010958075523
[2023-12-20 17:11:34,856][INFO] --epoch 76 loss 0.01608337601646781
[2023-12-20 17:11:34,868][INFO] --epoch 77 loss 0.014996423618867993
[2023-12-20 17:11:34,880][INFO] --epoch 78 loss 0.019402942154556513
[2023-12-20 17:11:34,891][INFO] --epoch 79 loss 0.015206975978799164
[2023-12-20 17:11:34,903][INFO] --epoch 80 loss 0.022889562416821718
[2023-12-20 17:11:34,916][INFO] --epoch 81 loss 0.014401481254026294
[2023-12-20 17:11:34,928][INFO] --epoch 82 loss 0.04639247804880142
[2023-12-20 17:11:34,941][INFO] --epoch 83 loss 0.05467942892573774
[2023-12-20 17:11:34,953][INFO] --epoch 84 loss 0.023135453462600708
[2023-12-20 17:11:34,965][INFO] --epoch 85 loss 0.033079985063523054
[2023-12-20 17:11:34,978][INFO] --epoch 86 loss 0.03097022045403719
[2023-12-20 17:11:34,990][INFO] --epoch 87 loss 0.03799627162516117
[2023-12-20 17:11:35,002][INFO] --epoch 88 loss 0.0314143942669034
[2023-12-20 17:11:35,015][INFO] --epoch 89 loss 0.022450143238529563
[2023-12-20 17:11:35,027][INFO] --epoch 90 loss 0.01765109715051949
[2023-12-20 17:11:35,039][INFO] --epoch 91 loss 0.026945402147248387
[2023-12-20 17:11:35,052][INFO] --epoch 92 loss 0.028730237623676658
[2023-12-20 17:11:35,064][INFO] --epoch 93 loss 0.03918309509754181
[2023-12-20 17:11:35,076][INFO] --epoch 94 loss 0.014868925791233778
[2023-12-20 17:11:35,089][INFO] --epoch 95 loss 0.025890033808536828
[2023-12-20 17:11:35,102][INFO] --epoch 96 loss 0.038268339238129556
[2023-12-20 17:11:35,114][INFO] --epoch 97 loss 0.01073324284516275
[2023-12-20 17:11:35,127][INFO] --epoch 98 loss 0.012211821042001247
[2023-12-20 17:11:35,139][INFO] --epoch 99 loss 0.051924347411841154
[2023-12-20 17:11:35,151][INFO] --epoch 100 loss 0.026535959681496024
[2023-12-20 17:11:35,164][INFO] --epoch 101 loss 0.016593636479228735
[2023-12-20 17:11:35,176][INFO] --epoch 102 loss 0.01139937958214432
[2023-12-20 17:11:35,188][INFO] --epoch 103 loss 0.011598857585340738
[2023-12-20 17:11:35,200][INFO] --epoch 104 loss 0.023208209313452244
[2023-12-20 17:11:35,212][INFO] --epoch 105 loss 0.054166285088285804
[2023-12-20 17:11:35,225][INFO] --epoch 106 loss 0.011433076113462448
[2023-12-20 17:11:35,237][INFO] --epoch 107 loss 0.023044773028232157
[2023-12-20 17:11:35,249][INFO] --epoch 108 loss 0.012142864638008177
[2023-12-20 17:11:35,262][INFO] --epoch 109 loss 0.009908266714774072
[2023-12-20 17:11:35,274][INFO] --epoch 110 loss 0.011165806790813804
[2023-12-20 17:11:35,286][INFO] --epoch 111 loss 0.01614297612104565
[2023-12-20 17:11:35,299][INFO] --epoch 112 loss 0.006239288602955639
[2023-12-20 17:11:35,311][INFO] --epoch 113 loss 0.005396971886511892
[2023-12-20 17:11:35,323][INFO] --epoch 114 loss 0.006489573221188039
[2023-12-20 17:11:35,335][INFO] --epoch 115 loss 0.011718128225766122
[2023-12-20 17:11:35,348][INFO] --epoch 116 loss 0.007367778802290559
[2023-12-20 17:11:35,360][INFO] --epoch 117 loss 0.015575995319522917
[2023-12-20 17:11:35,372][INFO] --epoch 118 loss 0.009999126777984202
[2023-12-20 17:11:35,384][INFO] --epoch 119 loss 0.005890933098271489
[2023-12-20 17:11:35,396][INFO] --epoch 120 loss 0.00861732306657359
[2023-12-20 17:11:35,408][INFO] --epoch 121 loss 0.0052627724362537265
[2023-12-20 17:11:35,420][INFO] --epoch 122 loss 0.004588902520481497
[2023-12-20 17:11:35,432][INFO] --epoch 123 loss 0.006034479476511478
[2023-12-20 17:11:35,444][INFO] --epoch 124 loss 0.005237247853074223
[2023-12-20 17:11:35,456][INFO] --epoch 125 loss 0.005646256846375763
[2023-12-20 17:11:35,469][INFO] --epoch 126 loss 0.004920128965750337
[2023-12-20 17:11:35,482][INFO] --epoch 127 loss 0.004713813948910683
[2023-12-20 17:11:35,494][INFO] --epoch 128 loss 0.005523291300050914
[2023-12-20 17:11:35,506][INFO] --epoch 129 loss 0.004594824044033885
[2023-12-20 17:11:35,518][INFO] --epoch 130 loss 0.00535678188316524
[2023-12-20 17:11:35,530][INFO] --epoch 131 loss 0.005438507650978863
[2023-12-20 17:11:35,543][INFO] --epoch 132 loss 0.0070049025234766304
