[2023-12-21 16:30:13,453][INFO] 
===== FNN_big-0.3-500-small-2023-12-21-16-30-13 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8e50>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8700>
===== end of FNN_big-0.3-500-small-2023-12-21-16-30-13 configuration =====

[2023-12-21 16:30:13,453][INFO] ===== start repair ======
[2023-12-21 16:30:13,453][INFO] For pgd attack net
[2023-12-21 16:30:14,161][INFO] --big patch network: --- PatchNet ---
Name: small patch network 499
--- End of PatchNet ---
[2023-12-21 16:30:15,142][INFO] --load the trainset and testset as testing set
[2023-12-21 16:30:15,150][INFO] --evaluate the original net on testset
[2023-12-21 16:30:15,151][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 16:30:15,151][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 16:30:15,443][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 16:30:15,443][INFO] --adv training
[2023-12-21 16:30:15,520][INFO] --epoch 0 loss 2.300259840488434
[2023-12-21 16:30:15,583][INFO] --epoch 1 loss 2.2961959719657896
[2023-12-21 16:30:15,647][INFO] --epoch 2 loss 2.296281123161316
[2023-12-21 16:30:15,709][INFO] --epoch 3 loss 2.2948652625083925
[2023-12-21 16:30:15,774][INFO] --epoch 4 loss 2.29467259645462
[2023-12-21 16:30:15,839][INFO] --epoch 5 loss 2.294104611873627
[2023-12-21 16:30:15,903][INFO] --epoch 6 loss 2.291951632499695
[2023-12-21 16:30:15,967][INFO] --epoch 7 loss 2.2850582718849184
[2023-12-21 16:30:16,033][INFO] --epoch 8 loss 2.250733160972595
[2023-12-21 16:30:16,097][INFO] --epoch 9 loss 2.153402268886566
[2023-12-21 16:30:16,160][INFO] --epoch 10 loss 2.0025225222110747
[2023-12-21 16:30:16,226][INFO] --epoch 11 loss 1.8371912240982056
[2023-12-21 16:30:16,290][INFO] --epoch 12 loss 1.8303220391273498
[2023-12-21 16:30:16,352][INFO] --epoch 13 loss 1.7468901216983794
[2023-12-21 16:30:16,419][INFO] --epoch 14 loss 1.5665061891078949
[2023-12-21 16:30:16,484][INFO] --epoch 15 loss 1.405482143163681
[2023-12-21 16:30:16,549][INFO] --epoch 16 loss 1.148899781703949
[2023-12-21 16:30:16,613][INFO] --epoch 17 loss 1.1705846339464188
[2023-12-21 16:30:16,678][INFO] --epoch 18 loss 1.1105872809886932
[2023-12-21 16:30:16,745][INFO] --epoch 19 loss 0.8347523838281632
[2023-12-21 16:30:16,813][INFO] --epoch 20 loss 0.784877310693264
[2023-12-21 16:30:16,882][INFO] --epoch 21 loss 0.7766477912664413
[2023-12-21 16:30:16,947][INFO] --epoch 22 loss 0.5484406173229217
[2023-12-21 16:30:17,009][INFO] --epoch 23 loss 0.6967401050031186
[2023-12-21 16:30:17,070][INFO] --epoch 24 loss 0.46704833656549455
[2023-12-21 16:30:17,133][INFO] --epoch 25 loss 0.3486679054796696
[2023-12-21 16:30:17,193][INFO] --epoch 26 loss 0.36445747315883636
[2023-12-21 16:30:17,261][INFO] --epoch 27 loss 0.2247630212455988
[2023-12-21 16:30:17,331][INFO] --epoch 28 loss 0.14857698660343885
[2023-12-21 16:30:17,390][INFO] --epoch 29 loss 0.13356324173510076
[2023-12-21 16:30:17,453][INFO] --epoch 30 loss 0.09808006286621093
[2023-12-21 16:30:17,516][INFO] --epoch 31 loss 0.1044521784875542
[2023-12-21 16:30:17,577][INFO] --epoch 32 loss 0.0854120623320341
[2023-12-21 16:30:17,639][INFO] --epoch 33 loss 0.08411065908148885
[2023-12-21 16:30:17,700][INFO] --epoch 34 loss 0.06051144041121006
[2023-12-21 16:30:17,761][INFO] --epoch 35 loss 0.04317767219617963
[2023-12-21 16:30:17,822][INFO] --epoch 36 loss 0.03789189187809825
[2023-12-21 16:30:17,882][INFO] --epoch 37 loss 0.034641196671873334
[2023-12-21 16:30:17,944][INFO] --epoch 38 loss 0.03304754644632339
[2023-12-21 16:30:18,007][INFO] --epoch 39 loss 0.028343675611540674
[2023-12-21 16:30:18,070][INFO] --epoch 40 loss 0.02860186081379652
[2023-12-21 16:30:18,134][INFO] --epoch 41 loss 0.02601103032939136
[2023-12-21 16:30:18,197][INFO] --epoch 42 loss 0.025226942216977476
[2023-12-21 16:30:18,257][INFO] --epoch 43 loss 0.02362578730098903
[2023-12-21 16:30:18,321][INFO] --epoch 44 loss 0.022319532511755825
[2023-12-21 16:30:18,383][INFO] --epoch 45 loss 0.021910673892125487
[2023-12-21 16:30:18,447][INFO] --epoch 46 loss 0.02185489279218018
[2023-12-21 16:30:18,510][INFO] --epoch 47 loss 0.021456567896530034
[2023-12-21 16:30:18,572][INFO] --epoch 48 loss 0.02140680579468608
[2023-12-21 16:30:18,633][INFO] --epoch 49 loss 0.021278824750334026
[2023-12-21 16:30:18,693][INFO] --epoch 50 loss 0.021235391264781356
[2023-12-21 16:30:18,757][INFO] --epoch 51 loss 0.021214978815987707
[2023-12-21 16:30:18,818][INFO] --epoch 52 loss 0.02116881823167205
[2023-12-21 16:30:18,879][INFO] --epoch 53 loss 0.021293569914996625
[2023-12-21 16:30:18,940][INFO] --epoch 54 loss 0.02128888708539307
[2023-12-21 16:30:19,001][INFO] --epoch 55 loss 0.02143593258224428
[2023-12-21 16:30:19,062][INFO] --epoch 56 loss 0.021206850884482265
[2023-12-21 16:30:19,126][INFO] --epoch 57 loss 0.021807961352169513
[2023-12-21 16:30:19,187][INFO] --epoch 58 loss 0.022246456635184587
[2023-12-21 16:30:19,247][INFO] --epoch 59 loss 0.022051352262496948
[2023-12-21 16:30:19,306][INFO] --epoch 60 loss 0.021230432856827974
[2023-12-21 16:30:19,368][INFO] --epoch 61 loss 0.020799079118296503
[2023-12-21 16:30:19,429][INFO] --epoch 62 loss 0.023516688216477632
[2023-12-21 16:30:19,490][INFO] --epoch 63 loss 0.022691547079011797
[2023-12-21 16:30:19,557][INFO] --epoch 64 loss 0.021937309438362716
[2023-12-21 16:30:19,619][INFO] --epoch 65 loss 0.018538644816726447
[2023-12-21 16:30:19,677][INFO] --epoch 66 loss 0.022594277979806066
